ID;LONGITUDE;LATITUDE
1010;-51258904;-30014621
1011;-51261120;-30015783
1012;-51258760;-30020609
1013;-51196430;-29985960
1014;-51207083;-29997625
1015;-51180285;-29988393
1016;-51179883;-29987907
1017;-51180984;-29984464
1018;-51178128;-29988682
1019;-51177705;-29989679
1020;-51125956;-29980955
1021;-51125041;-29980900
1022;-51123521;-29980831
1023;-51127609;-29981038
1024;-51126785;-29981002
1025;-51128382;-29981082
1026;-51135976;-29981519
1027;-51135637;-29981501
1028;-51132935;-29981351
1029;-51135249;-29981481
1030;-51135125;-29983155
1031;-51134379;-29983113
1032;-51133600;-29983070
1033;-51129784;-29982858
1034;-51129013;-29982812
1035;-51128254;-29982768
1036;-51127490;-29982724
1037;-51126660;-29982673
1038;-51130581;-29982899
1039;-51132812;-29983025
1040;-51132069;-29982984
1041;-51256660;-30018377
1042;-51184926;-29980523
1043;-51181565;-29979901
1044;-51183757;-29978866
1045;-51184863;-29980643
1046;-51185324;-29980417
1047;-51186268;-29978750
1048;-51184582;-29979176
1049;-51180171;-29977674
1050;-51182816;-29977361
1051;-51183097;-29982357
1052;-51185260;-29985052
1053;-51183947;-29977262
1054;-51185487;-29981635
1055;-51193025;-29993483
1056;-51197284;-29986681
1057;-51197855;-29986319
1058;-51198109;-29987161
1059;-51171222;-29968719
1060;-51155434;-29967635
1061;-51166949;-30002561
1062;-51166831;-30002544
1063;-51155070;-29985402
1064;-51155083;-29985089
1065;-51173438;-29980396
1066;-51137559;-29979480
1067;-51137640;-29978641
1068;-51136707;-29983939
1069;-51136652;-29983594
1070;-51136241;-29985392
1071;-51136259;-29985099
1072;-51135594;-29989697
1073;-51135588;-29989647
1074;-51135904;-29986565
1075;-51135986;-29986264
1076;-51136220;-29985678
1077;-51136071;-29985936
1078;-51136461;-29984909
1079;-51136587;-29983225
1080;-51136584;-29986301
1081;-51195523;-29983251
1082;-51195399;-29982863
1083;-51195606;-29991524
1084;-51195504;-29991202
1085;-51194590;-29983063
1086;-51194279;-29983142
1087;-51195447;-29991019
1088;-51190537;-29991379
1089;-51189499;-29990237
1090;-51194102;-29984012
1091;-51193979;-29983628
1092;-51196094;-29983970
1093;-51195962;-29983561
1094;-51194722;-29983451
1095;-51197084;-29983285
1096;-51196758;-29983364
1097;-51195116;-29983354
1098;-51196954;-29982897
1099;-51196237;-29983074
1100;-51190125;-29991658
1101;-51189059;-29990537
1102;-51186274;-29977468
1103;-51186416;-29976290
1104;-51193948;-29977342
1105;-51196893;-29977393
1106;-51196827;-29977173
1107;-51195983;-29977197
1108;-51196033;-29977362
1109;-51137908;-29999258
1110;-51137995;-29998363
1111;-51137804;-30000454
1112;-51137747;-30001118
1113;-51136481;-30004031
1114;-51135569;-30002462
1115;-51135192;-30002194
1116;-51135685;-30002547
1117;-51135021;-30001340
1118;-51134811;-30001194
1119;-51136016;-30002063
1120;-51136468;-30001665
1121;-51136073;-30001379
1122;-51134331;-29999200
1123;-51134011;-29998623
1124;-51133283;-29997338
1125;-51133109;-29997029
1126;-51132564;-29996051
