ID;Longitude;Latitude;ORDEM;DATA_IMPLA;PREDIAL;CDL1;CDL2;LOG1;LOG2;LOCAL;LOCAL_SIG;TIPO;OBSERVACAO;CODIGO
1763;-51.207091;-30.008806;82;;217;7980030;;AV SAO PEDRO;;217 AV SAO PEDRO;217 AV SAO PEDRO;PEDESTRE;ESQ R CONSELHEIRO TRAVASSOS;SPE-CTR
1764;-51.199217;-30.011569;83;;;7980030;8180044;AV SAO PEDRO;AV PARA;AV SAO PEDRO & AV PARA;AV SAO PEDRO & AV PARA;CRUZAMENTO;;SPE-PRA
1765;-51.204061;-30.040764;84;;347;8077075;;R SILVA SO;;347 R SILVA SO;R SILVA SO;PEDESTRE;ESQ DONA EUGENIA NS;SSO-PD01
1766;-51.204024;-30.040802;85;;322;8077075;;R SILVA SO;;322 R SILVA SO;R SILVA SO;PEDESTRE;PROX DONA EUGENIA SN;SSO-PD02
1767;-51.176005;-30.044011;86;;800;8275208;;AV SENADOR TARSO DUTRA;;800 AV SENADOR TARSO DUTRA;800 AV SENADOR TARSO DUTRA;PEDESTRE;PED FTE R CARLOS BENEVUTO FROMER;STD-E10
1768;-51.176096;-30.044040;87;;;8275208;;AV SENADOR TARSO DUTRA;R CARLOS BENEVUTO FROMER;AV SENADOR TARSO DUTRA & R CARLOS BENEVUTO FROMER;AV SENADOR TARSO DUTRA & R CARLOS BENEVUTO FROMER;CRUZAMENTO;;STD-CBF
1769;-51.202779;-29.988532;88;;3;8082091;;R DONA TEODORA;;3 R DONA TEODORA;3 R DONA TEODORA;PEDESTRE; CB PROX VOLUNTARIOS DA PATRIA;TEO-PD03
1770;-51.202765;-29.988480;89;;4;8082091;;R DONA TEODORA;;4 R DONA TEODORA;4 R DONA TEODORA;PEDESTRE;BC PROX VOLUNTARIOS DA PATRIA;TEO-PD03
1771;-51.198036;-29.989394;90;;428;8082091;;R DONA TEODORA;;428 R DONA TEODORA;428 R DONA TEODORA;PEDESTRE;DF EMPRESA PLANALTO;TEO-PD05
1772;-51.198457;-29.989292;91;;435;8082091;;R DONA TEODORA;;435 R DONA TEODORA;435 R DONA TEODORA;PEDESTRE; EMPRESA PLANALTO;TEO-PD05
1773;-51.210990;-30.081335;92;;3248;7973027;;AV TERESOPOLIS;;3248 AV TERESOPOLIS;3248 AV TERESOPOLIS;PEDESTRE;ESTACAO GUIA LOPES BC 2;TER-E23BC-
1774;-51.210802;-30.081219;93;;3171;7973027;;AV TERESOPOLIS;;3171 AV TERESOPOLIS;3171 AV TERESOPOLIS;PEDESTRE;PRACA GUIA LOPES CB;TER-E23CB
1775;-51.210068;-30.080689;94;;3126;7973027;;AV TERESOPOLIS;;3126 AV TERESOPOLIS;3126 AV TERESOPOLIS;PEDESTRE;PED BC APOS CRUZ LUDOLFO BOHEL;TER-PD01
